
GOODS ID,Original ID,Ra,Dec,Survey,Spect. z,Quality flag
J033231.56-274853.8,GMASS0118, 03:32:31.562,-27:48:53.81,GMASS (Kurk et al. 2012),1.8795,1
J033221.95-274855.6,GMASS0149, 03:32:21.952,-27:48:55.67,GMASS (Kurk et al. 2012),2.0069,1
J033238.19-274849.4,GMASS0178, 03:32:38.198,-27:48:49.50,GMASS (Kurk et al. 2012),1.7669,1
J033234.11-274849.5,GMASS0181, 03:32:34.117,-27:48:49.58,GMASS (Kurk et al. 2012),2.3436,1
J033231.15-274847.9,GMASS0183, 03:32:31.159,-27:48:47.95,GMASS (Kurk et al. 2012),1.8820,1
J033222.45-274833.4,GMASS0249, 03:32:22.452,-27:48:33.46,GMASS (Kurk et al. 2012),2.3342,0
J033239.17-274832.3,GMASS0253, 03:32:39.173,-27:48:32.37,GMASS (Kurk et al. 2012),2.6697,0
J033241.68-274829.6,GMASS0271, 03:32:41.681,-27:48:29.64,GMASS (Kurk et al. 2012),1.9957,1
J033235.04-274823.1,GMASS0307, 03:32:35.046,-27:48:23.20,GMASS (Kurk et al. 2012),2.7973,1
J033220.81-274822.3,GMASS0316, 03:32:20.813,-27:48:22.38,GMASS (Kurk et al. 2012),1.7365,1
J033228.42-274819.1,GMASS0330, 03:32:28.425,-27:48:19.16,GMASS (Kurk et al. 2012),2.6274,1
J033240.97-274816.8,GMASS0335, 03:32:40.978,-27:48:16.83,GMASS (Kurk et al. 2012),1.7626,1
J033227.80-274812.1,GMASS0365, 03:32:27.810,-27:48:12.18,GMASS (Kurk et al. 2012),1.6086,1
J033222.10-274806.6,GMASS0390, 03:32:22.109,-27:48:06.68,GMASS (Kurk et al. 2012),1.7738,1
J033223.56-274802.6,GMASS0408, 03:32:23.564,-27:48:02.60,GMASS (Kurk et al. 2012),1.5076,1
J033233.03-274759.6,GMASS0418, 03:32:33.035,-27:47:59.67,GMASS (Kurk et al. 2012),4.0627,0
J033226.59-274750.2,GMASS0459, 03:32:26.595,-27:47:50.30,GMASS (Kurk et al. 2012),2.1621,1
J033238.11-274749.7,GMASS0472, 03:32:38.114,-27:47:49.76,GMASS (Kurk et al. 2012),1.9213,1
J033235.66-274748.9,GMASS0484, 03:32:35.661,-27:47:48.99,GMASS (Kurk et al. 2012),1.7651,1
J033236.38-274747.0,GMASS0487, 03:32:36.387,-27:47:47.03,GMASS (Kurk et al. 2012),1.7672,1
